Timestamp	都道府県	災害救助法 適用	市町村名	電話対応を行った災害	その災害の名称はなんですか？（例：平成30年7月豪雨）	災害対策本部の運営業務全体のうち、電話への対応は全体の業務量のうち何％でしたか？	電話対応で最も長かった電話の時間は何分程度でしたか？	その内容はどのようなものでしたか？	電話対応の平均的な時間は何分程度でしたか？	電話回数は平常時と比較してどうですか？	安否確認	被害状況確認	被害状況報告	救助要請	避難所についての問い合わせ	ボランティアについての問い合わせ	支援物資についての問い合わせ	マスコミの問い合わせ	その他（複数記入可、各項目に０〜４の基準も付けてください）（例：〜の問い合わせ（２）、〜の問い合わせ（４））	電話に回答する際、その情報源はなんでしたか。（複数選択可）	有効だった情報源があれば教えてください。	電話に効率良く対応できたと思いますか？	電話対応の際、どのような問題に遭遇しましたか？（複数選択可）	電話対応が原因で業務への負荷を感じましたか。	電話で受ける情報をどう管理しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報を総合的にどう管理し、共有しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報管理する際に直面した問題はなんですか。（複数選択可）	自動音声認識は自治体で役に立つと思いますか？	自動音声認識システムを導入したいと思いますか？	「はい」以外を選択した場合、その理由はなんですか。	自動音声認識システムに欲しい機能はなんですか。	他に付け加えたい情報がございましたら、ご自由にお書きください。
5/21/2019 0:30:37	北海道	Y	南幌町	台風	北海道胆振東部地震	３１〜４０％	５分	停電の事	２~３分	平常時より電話回数が極めて多かった。	0	0	0	0	0	0	0	4	停電の復旧時間の問い合わせ（４）	スマホのインターネット		3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	効果が解らない		
5/21/2019 0:49:03	愛知県	N	碧南市	台風	平成３０年９月２４日台風２４号	０〜１０％	２０	停電復旧に時間がかかっていることの苦情	５	平常時より電話回数が多かった。	0	3	3	0	2	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	現地確認をした職員からの情報	3	個々の電話対応に必要以上の時間が掛かった。	5			ホワイトボードに時系列で記載し、管理を行った。		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	システムを使って対応するイメージがつかないため	特に思いつきません	
5/21/2019 0:56:08	福島県	N	南相馬市	現在の防災担当職員で災害対策本部の運営に携わったものがいない																										3	どちらとも言えない。			
5/21/2019 1:26:31	愛媛県	N	松山市	豪雨	平成３０年７月豪雨災害	１１〜２０％	１２０分程度	苦情	３分程度	平常時より電話回数が極めて多かった。	2	3	3	2	2	2	1	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		3	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	本市独自の防災情報システム	情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	はい、積極的に導入したい。	業務の効率化	受信内容を解析し現場を特定する機能	
5/21/2019 1:58:11	和歌山県	N	みなべ町	台風	平成30年台風21号	０〜１０％	5分		2分	平常時と電話回数はほぼ同じだった。	0	2	2	1	2	0	0	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		3	個々の電話対応に必要以上の時間が掛かった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	4	どちらとも言えない。			
5/21/2019 2:00:58	三重県	N	紀北町	台風	平成30年台風21号	７１〜８０％	10分	マスコミからの問い合わせ、住民からの土嚢要請、停電の情報など	5分	平常時より電話回数が極めて多かった。	0	2	3	0	3	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	特に大した問題はなかった。	4	主に紙に書き留めた。（アナログ式）				特に大した問題はなかった。	2	どちらとも言えない。			
5/21/2019 2:41:09	佐賀県	N	鹿島市	台風	平成２８年熊本地震ほか	５１〜６０％	不明	不明	２～３分	平常時より電話回数が多かった。	0	2	2	0	2	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, 本部で確認した情報		3	特に大した問題はなかった。	3	主に紙に書き留めた。（アナログ式）		関係者への情報提供など		他の関係者と情報共有が中々うまくできなかった。	2	いいえ、導入したくない。	どのようなシステムか不明のため		
5/21/2019 3:58:14	青森県	N	青森市	地震	北海道胆振東部地震（本市では災害対策本部は設置しませんでしたが、市域外において災害が発生したことに対する支援体制を敷設しました）	０〜１０％	約10分程度	職員派遣の連絡調整等		平常時と電話回数はほぼ同じだった。	0	0	1	1	0	0	1	1		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	情報不足だった。, どこで必要な情報を取得できるか分からなかった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	5	どちらとも言えない。			
5/21/2019 4:18:12	北海道	Y	歌志内市	地震	北海道胆振東部地震	０〜１０％	5分程度	空知総合振興局からの現状確認	1分程度	平常時より電話回数が多かった。	0	4	2	0	2	0	2	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。	Jアラート	3	特に大した問題はなかった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	3	いいえ、導入したくない。			
5/21/2019 4:19:12	鹿児島県	N	長島町	豪雨	平成30年7月豪雨	４１〜５０％	5分	被災箇所の報告	5分	平常時より電話回数が多かった。	0	3	3	0	1	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		3	個々の電話対応に必要以上の時間が掛かった。, 特に大した問題はなかった。	3	主にコンピューター端末に入力した。（デジタル式）	メモ帳、ワード、エクセル	アナログ、デジタル双方（デジタル入力＞印刷）	メモ帳、ワード、エクセル	他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	2	どちらとも言えない。	費用対効果、経費	認識率の向上（方言対応）	
5/21/2019 5:03:34	熊本県	Y	大津町	地震	平成２８年熊本地震	３１〜４０％	約５０分	支援物資等に関して	５～１０	平常時より電話回数が極めて多かった。	1	2	3	1	2	2	2	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, 消防団	消防団からの情報	3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。, 情報を紛失した。	3	どちらとも言えない。		情報の区分	
5/21/2019 5:47:26	茨城県	N	土浦市	台風	台風24号	１１〜２０％	30分	相談（不安や個々の対応）	5分	平常時より電話回数が多かった。	0	2	1	1	2	1	0	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		1	個々の電話対応に必要以上の時間が掛かった。	2	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報量が多すぎて混乱してしまった。	4	はい、積極的に導入したい。			
5/21/2019 5:50:39	山形県	UNKNOWN	西川町	豪雨		１１〜２０％	10分	災害箇所の報告、要望	5分	平常時より電話回数が多かった。	0	3	4	0	0	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。	地元消防団、地区会長	2	個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）					5	どちらとも言えない。	導入費用などのコストの問題		
